USD,UNITED STATES,NYSE,^DJI,Dow Jones Industrial Average
USD,UNITED STATES,NYSE,^NDX,NASDAQ-100 
USD,UNITED STATES,NYSE,^GSPC,S&P 500 INDEX,RTH
USD,UNITED STATES,NYSE,^RUI,RUSSELL 1000 INDEX
USD,UNITED STATES,NYSE,^RUT,RUSSELL 2000 INDEX
USD,UNITED STATES,NYSE,^RUA,RUSSELL 3000 INDEX
USD,UNITED STATES,CBOE,^VIX,Chicago Board Options Exchange Volatility Index
ARS,ARGENTINA,NYSE,^MERV,MERVAL BUENOS AIRES
BRL,BRAZIL,NYSE,^BVSP,IBOVESPA - Sao Paolo
CAD,CANADA,NYSE,^GSPTSE,S&P/TSX Composite index (Interi(Toronto)
MXN,MEXICO,NYSE,^MXX,IPC (Mexico ^MXX)
AUD,AUSTRALIA,NYSE,^AORD,All Ordinaries
CNY,CHINA,NYSE,^SSEC,Shanghai Composite
HKD,HONGKONG,NYSE,^HSI,Hang Seng
INR,INDIA,NYSE,^BSESN,BSE 30
IDR,INDONESIA,NYSE,^JKSE,Jakarta Composite
MYR,MALAYSIA,NYSE,^KLSE,KLSE Composite
JPY,JAPAN,NYSE,^N225,Nikkei 225
NZD,NEW ZEELAND,NYSE,^NZ50,NZSE 50
SGD,SINGAPORE,NYSE,^STI,Straits Times
KRW,SOUTH KOREA,NYSE,^KS11,Seoul Composite
TWD,TAIWAN,NYSE,^TWII,Taiwan Weighted
EUR,AUSTRIA,NYSE,^ATX,ATX
EUR,BELGIUM,NYSE,^BFX,BEL-20
EUR,FRANCE,NYSE,^FCHI,CAC 40
EUR,GERMANY,NYSE,^GDAXI,DAX
EUR,HOLLAND,NYSE,^AEX,AEX General
NKR,NORWEGIAN,NYSE,^OSEAX,OSE All Share
EUR,SPAIN,NYSE,^SMSI,Madrid General
SEK,SWEDEN,NYSE,^OMXSPI,Stockholm General
CHF,SWITZERLAND,NYSE,^SSMI,Swiss Market
GBP,GREAT BRITAIN,NYSE,^FTSE,FTSE 100
