# Class                                                                Module
AbstractAllocationRule                                                 RefDataAPI
AccountingBook                                                         CoreAPI
AccountingBookRuleLink                                                 RefDataAPI
AccountingEventConfig                                                  RefDataAPI
AccountingRuleAccountConfig                                            RefDataAPI
AccountingRule                                                         RefDataAPI
AccountInterestConfigRange                                             RefDataAPI
AccountInterestConfig                                                  RefDataAPI
AccountMapping                                                         RefDataAPI
Account                                                                RefDataAPI
AccountSweepingConfig                                                  RefDataAPI
AdviceConfig                                                           RefDataAPI
AdviceDocument                                                         CoreAPI
AdviceDocumentSQL                                                      CoreAPI
AnalysisItem                                                           RiskAPI
AuthConfig                                                             RefDataAPI
BalancePosition                                                        EventAPI
BasicProduct                                                           ProductAPI
BillingDefaultEvent                                                    EventAPI
BillingEvent                                                           EventAPI
BillingTaskEvent                                                       EventAPI
BOException                                                            CoreAPI
BOMessage                                                              CoreAPI
BOMessageSQL                                                           CoreAPI
BondBenchmark                                                          RefDataAPI
Book                                                                   CoreAPI
BookValCcy                                                             RefDataAPI
BOPosting                                                              CoreAPI
BOTransferCAElectionProcessor                                          CorporateActionAPI
BOTransfer                                                             CoreAPI
CAActivityDetail                                                       CorporateActionAPI
CADetail                                                               CorporateActionAPI
CAElection                                                             CorporateActionAPI
CAElectionProcessor                                                    CorporateActionAPI
CalypsoEntity                                                          CoreAPI
CashFlow                                                               CoreAPI
Cash                                                                   ProductAPI
CFDContractDefinition                                                  RefDataAPI
CFDCountryGrid                                                         RefDataAPI
CommodityCertificateStockOutput.CommodityCertificateStockItem          RiskAPI
CommodityReset                                                         RefDataAPI
Configuration                                                          RefDataAPI
Country                                                                RefDataAPI
CreditDrawDown                                                         ProductAPI
CurrencyDefault                                                        RefDataAPI
CurrencyPair                                                           RefDataAPI
CustomerCall                                                           RefDataAPI
CustomerTransfer                                                       ProductAPI
DefaultGDIdentifiers                                                   CoreExtAPI
Document                                                               CoreAPI
EconomicPLCustomData                                                   RiskAPI
EntityAttributes                                                       CoreAPI
FeeBillingRule                                                         RefDataAPI
Fee                                                                    CoreAPI
FeeGrid                                                                RefDataAPI
FundSecurityAllocation                                                 SecFinanceAPI
FwdRiskTransInfo                                                       ProductAPI
FXResetPair                                                            RefDataAPI
FXReset                                                                RefDataAPI
FXSpotBlotterPositionItemKey                                           RiskAPI
FXSpotBlotterPositionItem                                              RiskAPI
FXSupport                                                              ProductAPI
FXTakeUp                                                               ProductAPI
FXTradeSplitInfo                                                       ProductAPI
GenericCommentLight                                                    CoreAPI
HedgeAccountingPosting                                                 RiskAPI
HedgeRelationship                                                      CoreExtAPI
HedgeRelationship                                                      HedgeAccountingAPI
HedgeRelationshipTrade                                                 CoreExtAPI
HedgeRelationshipTrade                                                 CoreExtAPI
HedgeRelationshipTrade                                                 HedgeAccountingAPI
HedgeStrategy                                                          CoreExtAPI
HolidayCode                                                            RefDataAPI
Holiday                                                                CoreAPI
HolidayRule                                                            CoreAPI
IncomingDocument                                                       CoreAPI
InventorySecurityPositionCAElectionProcessor                           CorporateActionAPI
InvestmentPerformanceItem                                              RiskAPI
LEContact                                                              RefDataAPI
LegalAgreement                                                         RefDataAPI
LegalEntityAttribute                                                   RefDataAPI
LegalEntity                                                            CoreAPI
LegalEntityEODTime                                                     RefDataAPI
LegalEntityRelation                                                    RefDataAPI
LegalEntityTolerance                                                   RefDataAPI
LERegistration                                                         RefDataAPI
LEUserAccessRelation                                                   RefDataAPI
LifeCycleEvent                                                         EventAPI
LiquidatedPosition                                                     MiddleOfficeAPI
LiquidationConfig                                                      MiddleOfficeAPI
LiquidationCorporateActionAllocation                                   MiddleOfficeAPI
LiquidationInfo                                                        MiddleOfficeAPI
LiquidationResultData                                                  MiddleOfficeAPI
ManualOverrideCAElectionProcessor                                      CorporateActionAPI
ManualSDI                                                              RefDataAPI
MarginCallConfig                                                       RefDataAPI
MarginCall                                                             ProductAPI
MasterConfirmation                                                     RefDataAPI
MatrixPLTradePositionKey                                               RiskAPI
MessageGroup                                                           RefDataAPI
MessageRule                                                            RefDataAPI
MultiplePositionSaveTradeDetail                                        MiddleOfficeAPI
Mutation                                                               ProductAPI
NettingMethod                                                          RefDataAPI
ObjectDescription                                                      CoreAPI
PendingModification                                                    CoreAPI
PercentAllocRule                                                       RefDataAPI
PLArchiveTradeMapEntry                                                 MarketDataAPI
PLArchiveTrade                                                         MarketDataAPI
PLDummyTrade                                                           MarketDataAPI
PLMark                                                                 MarketDataAPI
PLPositionCAElectionProcessor                                          CorporateActionAPI
PLPosition                                                             MiddleOfficeAPI
PLRiskFactor                                                           RiskAPI
PortfolioSwapContract                                                  RefDataAPI
PortfolioSwapCountryRestriction                                        RefDataAPI
PortfolioSwapReset                                                     ProductAPI
PositionBase                                                           MiddleOfficeAPI
Position                                                               MiddleOfficeAPI
Product                                                                CoreAPI
Product                                                                CoreAPI
PSEventAggPLPosition                                                   EventAPI
PSEventBundleStatement                                                 EventAPI
PSEventDomainChange                                                    EventAPI
PSEventPLPosition                                                      EventAPI
PSEventPositionTDWAC                                                   EventAPI
PSEventPositionWAC                                                     EventAPI
PSEventPriceFixing                                                     EventAPI
PSEventRateReset                                                       EventAPI
PSEventTrade                                                           EventAPI
PSEventTriggerTrade                                                    EventAPI
PSEventValuation                                                       EventAPI
PSPInterestBaseCalculation                                             ProductAPI
QuoteValue                                                             MarketDataAPI
RateIndexDefaults                                                      RefDataAPI
RemoteAccess                                                           RemoteAPI
RemoteBackOffice                                                       RemoteAPI
RemoteMarketData                                                       RemoteAPI
RemoteMark                                                             RemoteAPI
RemoteTrade                                                            RemoteAPI
ResetItem                                                              RiskAPI
ResetRiskItemI                                                         RiskAPI
ResetRiskItem                                                          RiskAPI
RiskAggregationItem                                                    RiskAPI
RollOverUtil                                                           ProductAPI
SBLPendingMark                                                         ProductAPI
Scenario                                                               RiskAPI
ScenarioRule                                                           RiskAPI
SDIRelationShip                                                        RefDataAPI
SecFinAllocCompliance                                                  SecFinanceAPI
SeedAllocSQL                                                           CoreAPI
SettleDeliveryInstruction                                              RefDataAPI
SettlementMessageSending                                               RefDataAPI
SettlementMethod                                                       RefDataAPI
SettlePositionBucket                                                   MarketDataAPI
SettlePosition                                                         MiddleOfficeAPI
SimpleTransfer                                                         ProductAPI
SpotResValDtEntry                                                      ProductAPI
SpotRiskTransInfo                                                      ProductAPI
StatementEntry                                                         ProductAPI
StaticDataFilter                                                       RefDataAPI
SwiftUtil                                                              CoreAPI
Task                                                                   CoreAPI
TradeCAElectionProcessor                                               CorporateActionAPI
Trade                                                                  CoreAPI
TradeCustomData                                                        CoreAPI
TradeCustomData                                                        CoreAPI
TradeDesc                                                              CoreAPI
TradeDesc                                                              CoreAPI
