Interval in ms:
300
QuoteAddress|Type|param name|min|max|param name|min|max|param name|min|max|param name|min|max|param name|min|max|param name|min|max|param name|min|max
FX.AUD.USD|Price|BID|0.9077|0.9083|ASK|0.9084|0.9092|OPEN|0.9084|0.9084|CLOSE|0.9079|0.9079|LAST|0.9082|0.9082|HIGH|0.9079|0.9079|LOW|0.9079|0.9079
FX.AUD.USD.1M|Price|BID|-21.83|-21.87|ASK|-21.53|-21.6|OPEN|-20.34|-20.34|CLOSE|-22.5|-22.5|LAST|-22.51|-22.51|HIGH|-22.5|-22.5|LOW|-22.5|-22.5
FX.AUD.USD.1W|Price|BID|-4.79|-4.812|ASK|-4.7|-4.76|OPEN|-4.8|-4.8|CLOSE|-4.69|-4.69|LAST|-4.71|-4.71|HIGH|-4.69|-4.69|LOW|-4.69|-4.69
FX.AUD.USD.2M|Price|BID|-42.37|-42.39|ASK|-41.49|-41.52|OPEN|-41.433|-41.433|CLOSE|0.8666|0.8666|LAST|0.8776|0.8776|HIGH|0.8666|0.8666|LOW|0.8666|0.8666
FX.AUD.USD.3M|Price|BID|-59.1000|-59.1700|ASK|-58.7200|-58.8000|OPEN|-59.0300|-59.0300|CLOSE|-58.6300|-58.6300|LAST|-60.0300|-60.0300|HIGH|-58.6300|-58.6300|LOW|-58.6300|-58.6300
FX.AUD.USD.6M|Price|BID|-114.0500|-114.1200|ASK|-112.7000|-113.3700|OPEN|-113.6500|-113.6500|CLOSE|-111.8600|-111.8600|LAST|-115.9300|-115.9300|HIGH|-111.8600|-111.8600|LOW|-111.8600|-111.8600
FX.AUD.USD.1Y|Price|BID|-217.36|-217.70|ASK|-215.25|-216.20|OPEN|-218.00|-218.00|CLOSE|-212.30|-212.30|LAST|-226.75|-226.75|HIGH|-212.30|-212.30|LOW|-212.30|-212.30
FX.AUD.USD.2Y|Price|BID|-450.00|-456.23|ASK|-439.20|-442.00|OPEN|-454.00|-454.00|CLOSE|-463.40|-463.40|LAST|-439.20|-439.20|HIGH|-463.40|-463.40|LOW|-463.40|-463.40
FX.EUR.BRL|Price|BID|2.9323|2.9327|ASK|2.9343|2.9350|OPEN|2.9183|2.9183|CLOSE|2.9402|2.9402|LAST|2.9070|2.9070|HIGH|2.9402|2.9402|LOW|2.9402|2.9402
FX.EUR.BRL.TN|Price|BID|0.0370|0.03810|ASK|0.0430|0.0480|OPEN|0.0125|0.0125|CLOSE|0.0105|0.0105|LAST|0.0125|0.0125|HIGH|0.0105|0.0105|LOW|0.0105|0.0105
FX.EUR.BRL.1M|Price|BID|1.3400|1.3600|ASK|1.4400|1.4800|OPEN|1.4000|1.4000|CLOSE|1.4620|1.4620|LAST|1.2700|1.2700|HIGH|1.4620|1.4620|LOW|1.4620|1.4620
FX.EUR.BRL.2M|Price|BID|2.8500|2.9100|ASK|2.9900|3.1500|OPEN|2.7600|2.7600|CLOSE|3.1000|3.1000|LAST|2.300|2.300|HIGH|3.1000|3.1000|LOW|3.1000|3.1000
FX.EUR.BRL.3M|Price|BID|4.5500|4.6000|ASK|4.6700|4.7200|OPEN|4.8400|4.8400|CLOSE|3.9800|3.9800|LAST|4.2100|4.2100|HIGH|3.9800|3.9800|LOW|3.9800|3.9800
FX.EUR.BRL.6M|Price|BID|10.3300|10.4400|ASK|11.0500|11.1000|OPEN|11.4500|11.4500|CLOSE|9.6000|9.6000|LAST|11.7600|11.7600|HIGH|9.6000|9.6000|LOW|9.6000|9.6000
FX.EUR.BRL.9M|Price|BID|18.0000|19.0000|ASK|19.1000|20.1000|OPEN|19.8500|19.8500|CLOSE|16.2000|16.2000|LAST|17.4500|17.4500|HIGH|16.2000|16.2000|LOW|16.2000|16.2000
FX.EUR.CLP|Price|BID|666.73|666.93|ASK|667.22|667.28|OPEN|664.74|664.74|CLOSE|667.34|667.34|LAST|663.63|663.63|HIGH|667.34|667.34|LOW|667.34|667.34
FX.EUR.CLP.TN|Price|BID|0.051|0.055|ASK|0.055|0.065|OPEN|0.02|0.02|CLOSE|0.051|0.051|LAST|0.017|0.017|HIGH|0.051|0.051|LOW|0.051|0.051
FX.EUR.CLP.1W|Price|BID|0.65|0.7|ASK|0.59|0.64|OPEN|0.34|0.34|CLOSE|0.66|0.66|LAST|0.72|0.72|HIGH|0.66|0.66|LOW|0.66|0.66
FX.EUR.CLP.1M|Price|BID|1.4800|1.5400|ASK|1.5400|1.5900|OPEN|1.4500|1.4500|CLOSE|1.49|1.49|LAST|1.27|1.27|HIGH|1.49|1.49|LOW|1.49|1.49
FX.EUR.CLP.2M|Price|BID|2.8800|2.9400|ASK|3.0200|3.1000|OPEN|2.7000|2.7000|CLOSE|2.9200|2.92|LAST|2.1|2.1|HIGH|2.9200|2.92|LOW|2.9200|2.92
FX.EUR.CLP.3M|Price|BID|4.4800|4.5300|ASK|4.6600|4.7000|OPEN|4.6100|4.6100|CLOSE|3.8|3.8|LAST|4.4|4.4|HIGH|3.8|3.8|LOW|3.8|3.8
FX.EUR.CLP.ON|Price|BID|0.0390|0.0420|ASK|0.0690|0.0750|OPEN|0.0420|0.0420|CLOSE|0.053|0.053|LAST|0.020|0.020|HIGH|0.053|0.053|LOW|0.053|0.053
FX.EUR.GBP.1M|Price|BID|1.21|1.22|ASK|1.02|1.26|OPEN|1.09|1.09|CLOSE|0.96|0.96|LAST|1.28|1.28|HIGH|0.96|0.96|LOW|0.96|0.96
FX.EUR.GBP.1Y|Price|BID|36.78|37.22|ASK|38.41|38.70|OPEN|32.65|32.65|CLOSE|36.98|36.98|LAST|35.88|35.88|HIGH|36.98|36.98|LOW|36.98|36.98
FX.EUR.GBP.2M|Price|BID|3.24|3.28|ASK|3.40|3.56|OPEN|3.10|3.10|CLOSE|3.22|3.22|LAST|3.17|3.17|HIGH|3.22|3.22|LOW|3.22|3.22
FX.EUR.GBP.3M|Price|BID|5.14|5.21|ASK|5.36|5.41|OPEN|4.62|4.62|CLOSE|5.63|5.63|LAST|4.40|4.40|HIGH|5.63|5.63|LOW|5.63|5.63
FX.EUR.GBP.6M|Price|BID|12.80|13.10|ASK|13.40|13.90|OPEN|12.92|12.92|CLOSE|12.87|12.87|LAST|12.99|12.99|HIGH|12.87|12.87|LOW|12.87|12.87
FX.EUR.GBP.9M|Price|BID|22.80|23.10|ASK|26.00|27.0|OPEN|20.75|20.75|CLOSE|24.18|24.18|LAST|19.60|19.60|HIGH|24.18|24.18|LOW|24.18|24.18
FX.EUR.GBP|Price|BID|0.8607|0.8610|ASK|0.8612|0.8617|OPEN|0.8565|0.8565|CLOSE|0.8645|0.8645|LAST|0.8559|0.8559|HIGH|0.8645|0.8645|LOW|0.8645|0.8645
FX.EUR.JPY|Price|BID|129.76|129.78|ASK|129.79|129.82|OPEN|129.14|129.14|CLOSE|129.47|129.47|LAST|129.71|129.71|HIGH|129.47|129.47|LOW|129.47|129.47
FX.EUR.JPY.1M|Price|BID|1.51|1.54|ASK|1.63|1.66|OPEN|1.54|1.54|CLOSE|1.35|1.35|LAST|1.49|1.49|HIGH|1.35|1.35|LOW|1.35|1.35
FX.EUR.JPY.1W|Price|BID|0.027|0.032|ASK|0.025|0.034|OPEN|0.023|0.023|CLOSE|0.031|0.031|LAST|0.011|0.011|HIGH|0.031|0.031|LOW|0.031|0.031
FX.EUR.JPY.1Y|Price|BID|36.90|37.08|ASK|38.86|15|OPEN|32.36|32.36|CLOSE|37.78|37.78|LAST|30.60|30.60|HIGH|37.78|37.78|LOW|37.78|37.78
FX.EUR.JPY.2M|Price|BID|2.85|2.92|ASK|2.99|3.10|OPEN|2.76|2.76|CLOSE|3.10|3.10|LAST|2.30|2.30|HIGH|3.10|3.10|LOW|3.10|3.10
FX.EUR.JPY.3M|Price|BID|0.0514|0.0522|ASK|0.0536|0.0544|OPEN|0.0450|0.0450|CLOSE|0.0471|0.0471|LAST|0.0510|0.0510|HIGH|0.0471|0.0471|LOW|0.0471|0.0471
FX.EUR.JPY.ON|Price|BID|0.00092|0.0011|ASK|0.00187|0.00210|OPEN|0.00027|0.00027|CLOSE|0.00042|0.00042|LAST|0.0012|0.0012|HIGH|0.00042|0.00042|LOW|0.00042|0.00042
FX.EUR.JPY.TN|Price|BID|0.035|0.039|ASK|0.042|0.044|OPEN|0.140|0.140|CLOSE|0.010|0.010|LAST|0.012|0.012|HIGH|0.010|0.010|LOW|0.010|0.010
FX.EUR.JPY|Price|BID|129.80|129.84|ASK|129.88|129.93|OPEN|129.14|129.14|CLOSE|128.55|128.55|LAST|129.76|129.76|HIGH|128.55|128.55|LOW|128.55|128.55
FX.EUR.USD|Price|BID|1.3143|1.3152|ASK|1.3146|1.3158|OPEN|1.3109|1.3109|CLOSE|1.3150|1.3150|LAST|1.3087|1.3087|HIGH|1.3150|1.3150|LOW|1.3150|1.3150
FX.EUR.USD.1D|Price|BID|1.2230|1.2330|ASK|1.6450|1.6455|OPEN|1.2354|1.2354|CLOSE|1.2270|1.2270|LAST|1.2035|1.2035|HIGH|1.2270|1.2270|LOW|1.2270|1.2270
FX.EUR.USD.1M|Price|BID|1.51|1.53|ASK|1.60|1.64|OPEN|1.54|1.54|CLOSE|1.70|1.70|LAST|1.35|1.35|HIGH|1.70|1.70|LOW|1.70|1.70
FX.EUR.USD.1W|Price|BID|0.29|0.30|ASK|0.33|0.37|OPEN|0.30|0.30|CLOSE|0.37|0.37|LAST|0.25|0.25|HIGH|0.37|0.37|LOW|0.37|0.37
FX.EUR.USD.1Y|Price|BID|35.5|36.13|ASK|36.75|37.18|OPEN|32.36|32.36|CLOSE|36.54|36.54|LAST|30.60|30.60|HIGH|36.54|36.54|LOW|36.54|36.54
FX.EUR.USD.2M|Price|BID|2.85|3.10|ASK|2.99|3.28|OPEN|2.76|2.78|CLOSE|3.10|3.10|LAST|2.30|2.30|HIGH|3.10|3.10|LOW|3.10|3.10
FX.EUR.USD.3M|Price|BID|4.70|5.15|ASK|5.31|5.32|OPEN|4.62|4.62|CLOSE|5.63|5.63|LAST|4.40|4.40|HIGH|5.63|5.63|LOW|5.63|5.63
FX.EUR.USD.6M|Price|BID|12.80|12.99|ASK|13.43|12|OPEN|12.92|12.92|CLOSE|13.90|13.90|LAST|12.45|12.45|HIGH|13.90|13.90|LOW|13.90|13.90
FX.EUR.USD.9M|Price|BID|19.60|22.56|ASK|22.31|24.76|OPEN|20.75|20.75|CLOSE|23.80|23.80|LAST|19.62|19.62|HIGH|23.80|23.80|LOW|23.80|23.80
FX.EUR.USD.O/N|Price|BID|0.0920|0.0927|ASK|0.1870|0.2213|OPEN|0.0400|0.0400|CLOSE|0.1400|0.1400|LAST|0.0040|0.0040|HIGH|0.1400|0.1400|LOW|0.1400|0.1400
FX.EUR.USD.ON|Price|BID|0.0920|0.0927|ASK|0.1870|0.2213|OPEN|0.0400|0.0400|CLOSE|0.1400|0.1400|LAST|0.0040|0.0040|HIGH|0.1400|0.1400|LOW|0.1400|0.1400
FX.EUR.USD.T/N|Price|BID|0.0320|0.0340|ASK|0.040|0.0422|OPEN|0.0140|0.0140|CLOSE|0.1400|0.1400|LAST|0.0010|0.0010|HIGH|0.1400|0.1400|LOW|0.1400|0.1400
FX.EUR.USD.TN|Price|BID|0.0320|0.0340|ASK|0.040|0.0422|OPEN|0.0140|0.0140|CLOSE|0.1400|0.1400|LAST|0.0010|0.0010|HIGH|0.1400|0.1400|LOW|0.1400|0.1400
FX.NZD.USD.1M|Price|BID|-17.44|-17.49|ASK|-17.20|-17.25|OPEN|-17.94|-17.94|CLOSE|-17.45|-17.45|LAST|-17.39|-17.39|HIGH|-17.45|-17.45|LOW|-17.45|-17.45
FX.NZD.USD.2M|Price|BID|-34.35|-34.43|ASK|-34.15|-35.15|OPEN|-35.15|-35.15|CLOSE|-34.17|-34.17|LAST|-36.05|-36.05|HIGH|-34.17|-34.17|LOW|-34.17|-34.17
FX.NZD.USD.3M|Price|BID|-50.50|-50.57|ASK|-50.45|-50.20|OPEN|-50.39|-50.39|CLOSE|-51.91|-51.91|LAST|-51.74|-51.74|HIGH|-51.91|-51.91|LOW|-51.91|-51.91
FX.NZD.USD.6M|Price|BID|-100.25|-101.5|ASK|-99.55|-101.74|OPEN|-99.70|-99.70|CLOSE|-104.12|-104.12|LAST|-100.87|-100.87|HIGH|-104.12|-104.12|LOW|-104.12|-104.12
FX.NZD.USD.9M|Price|BID|-666.00|-667.18|ASK|-622.18|-634.11|OPEN|-651.10|-651.10|CLOSE|-702.50|-702.50|LAST|-704.22|-704.22|HIGH|-702.50|-702.50|LOW|-702.50|-702.50
FX.NZD.USD|Price|BID|0.77063|0.77080|ASK|0.77070|0.77146|OPEN|0.78314|0.78314|CLOSE|0.77430|0.77430|LAST|0.77055|0.77055|HIGH|0.77430|0.77430|LOW|0.77430|0.77430
FX.GBP.USD|Price|BID|1.5267|1.5272|ASK|1.5269|1.5270|OPEN|1.5224|1.5224|CLOSE|1.5280|1.5280|LAST|1.5195|1.5195|HIGH|1.5280|1.5280|LOW|1.5280|1.5280
FX.GBP.USD.1W|Price|BID|0.35|0.43|ASK|0.50|0.66|OPEN|0.35|0.35|CLOSE|0.48|0.48|LAST|0.51|0.51|HIGH|0.48|0.48|LOW|0.48|0.48
FX.GBP.USD.1M|Price|BID|-3.22|-3.28|ASK|-3.04|-3.12|OPEN|-3.33|-3.33|CLOSE|-2.92|-2.92|LAST|-3.33|-3.33|HIGH|-2.92|-2.92|LOW|-2.92|-2.92
FX.GBP.USD.2M|Price|BID|-6.21|-6.23|ASK|-5.95|-6.08|OPEN|-6.40|-6.40|CLOSE|-6.05|-6.05|LAST|-6.42|-6.42|HIGH|-6.05|-6.05|LOW|-6.05|-6.05
FX.GBP.USD.3M|Price|BID|-9.08|-9.32|ASK|-8.72|-9.0|OPEN|-9.25|-9.25|CLOSE|-8.59|-8.59|LAST|-9.39|-9.39|HIGH|-8.59|-8.59|LOW|-8.59|-8.59
FX.GBP.USD.6M|Price|BID|-16.55|-16.62|ASK|-15.75|-15.98|OPEN|-15.51|-15.51|CLOSE|-17.62|-17.62|LAST|-15.77|-15.77|HIGH|-17.62|-17.62|LOW|-17.62|-17.62
FX.GBP.USD.9M|Price|BID|-21.50|-21.57|ASK|-19.80|-20.22|OPEN|-25.00|-25.00|CLOSE|-20.3|-20.3|LAST|-26.10|-26.10|HIGH|-20.3|-20.3|LOW|-20.3|-20.3
FX.GBP.USD.1Y|Price|BID|-29.0000|-29.0540|ASK|-21.1900|-21.2550|OPEN|-30.6300|-30.6300|CLOSE|-23.3400|-23.3400|LAST|-31.0000|-31.0000|HIGH|-23.3400|-23.3400|LOW|-23.3400|-23.3400
FX.GBP.USD.ON|Price|BID|-0.3940|-0.4022|ASK|-0.3460|-3.5400|OPEN|-0.1500|-0.1500|CLOSE|-0.0200|-0.0200|LAST|-0.4600|-0.4600|HIGH|-0.0200|-0.0200|LOW|-0.0200|-0.0200
FX.GBP.USD.TN|Price|BID|-0.1210|-1216|ASK|-0.1090|-0.1100|OPEN|-0.3400|-0.3400|CLOSE|-0.0100|-0.0100|LAST|-0.4070|-0.4070|HIGH|-0.0100|-0.0100|LOW|-0.0100|-0.0100
##FX.USD.BRL|Price|BID|2.2630|2.2645|ASK|2.2658|2.2660|OPEN|2.2475|2.2475|CLOSE|2.2430|2.2430|LAST|2.2697|2.2697|HIGH|2.2430|2.2430|LOW|2.2430|2.2430
FX.USD.CAD.1M|Price|BID|7.61|7.78|ASK|7.80|7.96|OPEN|7.70|7.70|CLOSE|8.01|8.01|LAST|6.92|6.92|HIGH|8.01|8.01|LOW|8.01|8.01
