Interval in ms:
5000
QuoteAddress|Type|param name|min|max|param name|min|max|param name|min|max|param name|min|max
FX_AUD_USD|Price|BID|0.7870|0.7895|CLOSE|0.7879|0.7891|ASK|0.7875|0.7890|OPEN|0.7885|0.7889
FX_AUD_NZD|Price|BID|1.08715|1.08735|CLOSE|1.08715|1.08735|ASK|1.08715|1.08735|OPEN|1.08715|1.08735
FX_EUR_USD|Price|BID|1.46666|1.44135|CLOSE|1.46448|1.46582|ASK|1.46748|1.44182|OPEN|1.44548|1.46618
FX_EUR_USD_ON|Price|BID|1|2|ASK|1|2|OPEN|1|2|CLOSE|1|2
FX_EUR_USD_TN|Price|BID|1|3|ASK|2|4|OPEN|1|2|CLOSE|1|3
FX_EUR_USD_O/N|Price|BID|1|2|ASK|1|2|OPEN|1|2|CLOSE|1|2
FX_EUR_USD_T/N|Price|BID|1|3|ASK|2|4|OPEN|1|2|CLOSE|1|3
FX_EUR_USD_1W|Price|BID|3|5|ASK|4|6|OPEN|3|5|CLOSE|3|5
FX_EUR_USD_1M|Price|BID|5|7|ASK|6|8|OPEN|5|7|CLOSE|5|7
FX_EUR_USD_3M|Price|BID|7|9|ASK|8|10|OPEN|7|9|CLOSE|1|2
FX_EUR_USD_6M|Price|BID|9|11|ASK|10|12|OPEN|1|2|CLOSE|1|2
FX_EUR_USD_9M|Price|BID|10|12|ASK|11|13|OPEN|1|2|CLOSE|1|2
FX_EUR_USD_1Y|Price|BID|12|14|ASK|13|15|OPEN|1|2|CLOSE|1|2
FX_AUD_USD|Price|BID|0.8666|0.8776|ASK|0.8666|0.8776|OPEN|0.8666|0.8776|CLOSE|0.8666|0.8776
FX_USD_JPY|Price|BID|112.02|112.12|ASK|112.02|112.12|OPEN|112.02|112.12|CLOSE|112.02|112.12
FX_XAU_USD|Price|BID|812.02|812.12|ASK|812.02|812.12|OPEN|812.02|812.12|CLOSE|812.02|812.12
FX_GBP_USD_ON|Price|BID|1|2|ASK|1|2|OPEN|1|2|CLOSE|1|2
FX_GBP_USD_TN|Price|BID|1|3|ASK|2|4|OPEN|1|2|CLOSE|1|3
FX_GBP_USD_O/N|Price|BID|1|2|ASK|1|2|OPEN|1|2|CLOSE|1|2
FX_GBP_USD_T/N|Price|BID|1|3|ASK|2|4|OPEN|1|2|CLOSE|1|3
FX_GBP_USD_1W|Price|BID|3|5|ASK|4|6|OPEN|3|5|CLOSE|3|5
FX_GBP_USD_1M|Price|BID|5|7|ASK|6|8|OPEN|5|7|CLOSE|5|7
FX_GBP_USD_3M|Price|BID|7|9|ASK|8|10|OPEN|7|9|CLOSE|1|2
FX_GBP_USD_6M|Price|BID|9|11|ASK|10|12|OPEN|1|2|CLOSE|1|2
FX_GBP_USD_9M|Price|BID|10|12|ASK|11|13|OPEN|1|2|CLOSE|1|2
FX_GBP_USD_1Y|Price|BID|12|14|ASK|13|15|OPEN|1|2|CLOSE|1|2
FX_CAD_GBP|Price|BID|2.2726|2.2737|ASK|2.2735|2.2746|OPEN|2.2745|2.2758|CLOSE|2.2632|2.2732
FX_CAD_GBP_1M|Price|BID|2.2626|2.2637|ASK|2.2635|2.2646|OPEN|2.2645|2.2658|CLOSE|2.2532|2.2632
FX_CAD_GBP_2M|Price|BID|2.2576|2.2587|ASK|2.2585|2.2596|OPEN|2.2595|2.2608|CLOSE|2.2482|2.2582
FX_CAD_GBP_3M|Price|BID|2.2526|2.2537|ASK|2.2535|2.2546|OPEN|2.2545|2.2568|CLOSE|2.2442|2.2542
FX_CAD_GBP_6M|Price|BID|2.2426|2.2437|ASK|2.2435|2.2446|OPEN|2.2445|2.2468|CLOSE|2.2442|2.2442
FX_CAD_GBP_9M|Price|BID|2.2226|2.2237|ASK|2.2235|2.2246|OPEN|2.2245|2.2268|CLOSE|2.2242|2.2242
FX_CAD_GBP_1Y|Price|BID|2.2026|2.2037|ASK|2.2035|2.2046|OPEN|2.2045|2.2068|CLOSE|2.2042|2.2042
FX.GBP.USD|Price|BID|1.6726|1.6737|ASK|1.6735|1.6746|OPEN|1.6745|1.6758|CLOSE|1.6632|1.6732
FX_GBP_USD_ON|Price|BID|1.6726|1.6737|ASK|1.6735|1.6746|OPEN|1.6745|1.6758|CLOSE|1.6632|1.6732
