Interval in ms:
2000
QuoteAddress|Type|param name|min|max|param name|min|max|param name|min|max|param name|min|max|param name|min|max
FX.AUD.USD|Price|BID|0.9353|0.9355|ASK|0.9356|0.9358|OPEN|0.9357|0.9357|CLOSE|0.9357|0.9357|LAST|0.9357|0.9357
FX.AUD.USD.1M|Price|BID|-18.61|-18.74|ASK|-18.09|-18.29|OPEN|-18.2900|-18.2900|CLOSE|-18.2900|-18.2900|LAST|-18.2900|-18.2900
FX.AUD.USD.1W|Price|BID|-4.40|-4.40|ASK|-4.0800|-4.2800|OPEN|-4.18|-4.18|CLOSE|-4.18|-4.18|LAST|-4.18|-4.18
FX.AUD.USD.2M|Price|BID|-38.16|-38.36|ASK|-37.66|-37.86|OPEN|-37.7600|-37.7600|CLOSE|-37.7600|-37.7600|LAST|-37.7600|-37.7600
FX.AUD.USD.3M|Price|BID|-59.1000|-59.1700|ASK|-58.7200|-58.8000|OPEN|-59.0300|-59.0300|CLOSE|-58.6300|-58.6300|LAST|-60.0300|-60.0300
FX.AUD.USD.6M|Price|BID|-114.0500|-114.1200|ASK|-112.7000|-113.3700|OPEN|-113.6500|-113.6500|CLOSE|-111.8600|-111.8600|LAST|-115.9300|-115.9300
FX.AUD.USD.1Y|Price|BID|-217.36|-217.70|ASK|-215.25|-216.20|OPEN|-218.00|-218.00|CLOSE|-212.30|-212.30|LAST|-226.75|-226.75
FX.AUD.USD.2Y|Price|BID|-450.00|-456.23|ASK|-439.20|-442.00|OPEN|-454.00|-454.00|CLOSE|-463.40|-463.40|LAST|-439.20|-439.20
FX.EUR.BRL|Price|BID|2.9323|2.9327|ASK|2.9343|2.9350|OPEN|2.9183|2.9183|CLOSE|2.9402|2.9402|LAST|2.9070|2.9070
FX.EUR.BRL.TN|Price|BID|0.0370|0.03810|ASK|0.0430|0.0480|OPEN|0.0125|0.0125|CLOSE|0.0105|0.0105|LAST|0.0125|0.0125
FX.EUR.BRL.1M|Price|BID|1.3400|1.3600|ASK|1.4400|1.4800|OPEN|1.4000|1.4000|CLOSE|1.4620|1.4620|LAST|1.2700|1.2700
FX.EUR.BRL.2M|Price|BID|2.8500|2.9100|ASK|2.9900|3.1500|OPEN|2.7600|2.7600|CLOSE|3.1000|3.1000|LAST|2.300|2.300
FX.EUR.BRL.3M|Price|BID|4.5500|4.6000|ASK|4.6700|4.7200|OPEN|4.8400|4.8400|CLOSE|3.9800|3.9800|LAST|4.2100|4.2100
FX.EUR.BRL.6M|Price|BID|10.3300|10.4400|ASK|11.0500|11.1000|OPEN|11.4500|11.4500|CLOSE|9.6000|9.6000|LAST|11.7600|11.7600
FX.EUR.BRL.9M|Price|BID|18.0000|19.0000|ASK|19.1000|20.1000|OPEN|19.8500|19.8500|CLOSE|16.2000|16.2000|LAST|17.4500|17.4500
FX.EUR.CLP|Price|BID|666.73|666.93|ASK|667.22|667.28|OPEN|664.74|664.74|CLOSE|667.34|667.34|LAST|663.63|663.63
FX.EUR.CLP.TN|Price|BID|0.051|0.055|ASK|0.055|0.065|OPEN|0.02|0.02|CLOSE|0.051|0.051|LAST|0.017|0.017
FX.EUR.CLP.1W|Price|BID|0.65|0.7|ASK|0.59|0.64|OPEN|0.34|0.34|CLOSE|0.66|0.66|LAST|0.72|0.72
FX.EUR.CLP.1M|Price|BID|1.4800|1.5400|ASK|1.5400|1.5900|OPEN|1.4500|1.4500|CLOSE|1.49|1.49|LAST|1.27|1.27
FX.EUR.CLP.2M|Price|BID|2.8800|2.9400|ASK|3.0200|3.1000|OPEN|2.7000|2.7000|CLOSE|2.9200|2.92|LAST|2.1|2.1
FX.EUR.CLP.3M|Price|BID|4.4800|4.5300|ASK|4.6600|4.7000|OPEN|4.6100|4.6100|CLOSE|3.8|3.8|LAST|4.4|4.4
FX.EUR.CLP.ON|Price|BID|0.0390|0.0420|ASK|0.0690|0.0750|OPEN|0.0420|0.0420|CLOSE|0.053|0.053|LAST|0.020|0.020
